nodes	trait1
n27561	29.7458|30.9858
internal_node_18640	35.5294|36.8103
n27577	36.7494|37.2506
n27583	35.5101|36.3141
n27584	34.6352|35.728
n27585	34.0161|35.0905
internal_node_18725	34.58|35.8302
n27629	28.6968|30.2214
n27630	24.8099|26.483
n27633	34.8664|35.9619
n27634	37.5321|38.5193
n27637	38.3422|39.4086
n27638	39.2578|40.0616
n27640	37.4739|38.0525
n27641	38.1529|38.7045
n27642	38.9892|39.5962
n27643	43.3188|44.059
n27647	40.4587|41.3327
n27652	36.7708|37.2292
n27653	36.5191|37.4809
n27655	36.8367|37.1633
n27674	32.0955|33.0362
n27676	31.223|31.7894
n27677	29.2024|29.5423
n27730	36.3185|37.6815
n27747	30.0877|31.2558
n27748	26.6933|28.4396
internal_node_19038	26.5252|27.7352
n27750	23.949|25.283
n27751	22.5752|23.2115
n27752	25.9847|26.7607
n27753	28.5584|29.3373
n27756	25.1353|25.8678
n27760	22.0647|22.3744
n27783	29.5072|30.4928
n27785	32.086|32.8648
n27787	30.0867|30.8967
n27788	30.3272|31.4261
n27793	30.7314|31.7173
n27811	32.486|33.34
n27812	34.5828|35.6708
n27814	33.0456|34.0898
n27820	33.2378|34.3912
n27824	32.8221|34.0082
internal_node_19255	36.3812|37.2345
n27844	36.2911|37.0335
n27845	35.8177|36.5161
n27846	35.1251|36.192
n27847	36.5822|37.3635
n27848	36.1732|37.6481
n27852	35.7775|37.3714
internal_node_19268	36.0892|36.7874
n27854	36.6196|37.3804
n27855	36.5643|37.4357
n27856	36.3835|37.6165
n27860	36.4763|37.5237
n27869	36.5324|37.4676
n27883	36.444|37.556
n27886	36.4407|37.5593
n27889	36.3247|37.6753
n27905	36.4675|37.5325
n27910	36.5335|37.4665
n27912	36.4446|37.5554
n27913	36.4989|37.5011
n27915	36.3034|37.6966
n27917	36.6474|37.3526
n27919	36.6113|37.3887
n27921	36.6073|37.3927
n27922	36.6357|37.3643
n27923	36.7713|37.2287
n27924	36.7459|37.2541
n27925	36.6539|37.3461
n27936	36.5976|37.4024
n27949	36.4806|37.5194
n27950	36.674|37.326
n27967	35.1909|36.1902
n27971	33.8409|34.2113
n27972	30.4244|30.776
n27974	36.9269|37.0731
n27979	36.8442|37.1558
n28012	36.528|37.472
n28013	36.6063|37.3937
n28014	36.6546|37.3454
n28024	36.5913|37.4087
n28025	29.2397|30.7603
n28032	36.7367|37.2633
n28051	36.7698|37.2302
n28093	30.0457|31.5703
n28097	29.7938|30.2062
n28098	29.7482|30.2518
n28110	36.3016|37.6984
n28111	36.2998|37.7002
n28125	34.6504|35.7348
186827	32.9591|34.2533
n28127	36.2886|37.7114
n28131	36.5447|37.4553
n28152	36.6179|37.3821
internal_node_19987	32.5869|33.4087
n28169	34.7499|35.5912
n28170	32.7065|33.5827
n28171	34.7981|35.1268
n28172	33.3549|33.7231
n28176	29.6442|29.9891
n28177	17.3047|17.6659
n28180	29.7361|30.2639
n28181	29.9046|30.0954
n28188	29.686|30.314
n28196	32.328|33.6661
90964	32.5801|33.8837
n28198	34.2656|35.6061
internal_node_20058	34.528|35.0934
n28204	35.5048|36.1339
n28205	35.8194|36.6159
n28224	35.4904|36.1772
n28225	34.7681|35.3931
n28228	36.8635|37.1365
n28230	34.8415|35.6408
n28233	35.16|35.7993
n28235	32.5589|33.1643
n28251	33.715|34.1337
n28252	33.024|33.5789
n28254	30.8183|31.3944
n28255	33.0758|33.7625
n28256	36.7399|36.9947
n28257	36.5405|36.6468
n28258	33.9137|34.1078
n28259	34.9307|35.2421
n28268	34.1607|34.6862
n28281	34.9723|35.0277
internal_node_20244	28.9262|30.066
n28295	32.7787|33.9135
n28324	31.4651|33.4057
internal_node_20324	28.6815|29.7959
n28327	27.7234|28.2766
n28344	36.5694|37.4306
internal_node_20389	34.6515|35.5296
n28355	34.9514|35.9789
internal_node_20395	36.6708|37.4033
internal_node_20401	34.4653|35.3544
n28359	29.6636|30.9185
n28362	29.887|31.0899
n28365	13.2952|14.4436
internal_node_20411	31.4096|32.9963
internal_node_20416	33.3681|34.3963
n28370	35.3019|36.5439
internal_node_20420	34.4877|35.7831
n28372	30.767|31.9728
n28385	28.2203|29.2653
n28388	24.8296|25.1704
n28473	-2.2304|-1.6832
n28477	-9.637|-9.3067
n28510	36.5919|37.4956
internal_node_20760	32.3323|33.1962
internal_node_20763	32.2059|33.0746
n28513	30.5814|31.5642
n28514	26.4563|27.6135
n28518	29.7568|30.2432
n28573	34.8303|35.7092
n28576	32.0234|33.1141
n28609	32.4369|33.6818
n28629	35.7072|35.9594
n28647	38.627|39.638
n28649	47.679|48.7239
n28650	58.5103|59.7808
n28652	61.883|63.3707
n28658	59.3767|59.923
n28675	67.5266|69.0226
n28692	54.8394|55.1606
n28694	54.7031|55.2969
n28695	54.8627|55.1373
n28712	29.4222|30.5778
n28714	29.4595|30.5405
n28737	29.0235|29.3866
n28740	24.8037|25.3142
n28784	33.7237|34.4847
n28785	30.9785|31.5499
n28786	29.7859|30.2141
n28787	29.7866|30.2134
n28788	29.7105|30.2895
n28798	29.9066|30.0934
n28803	37.1378|37.5497
n28808	41.08|41.494
n28843	32.8755|34.3546
n28846	29.7106|30.9807
n28847	29.9767|30.8829
n28848	29.662|30.8028
internal_node_21506	29.3896|30.6104
n28853	29.3422|30.6578
n28855	29.4056|30.5944
n28884	29.7595|30.2405
n28961	29.9771|31.1267
n28965	31.1274|32.4187
internal_node_21808	28.4233|29.7887
n29001	30.0864|31.3358
internal_node_21916	30.6351|31.7491
186822	32.0471|33.2824
186821	33.2005|34.6966
n29066	31.9306|33.5708
n29069	32.2324|33.484
n29071	32.4897|33.4224
n29072	34.1086|35.1841
n29073	31.3146|32.228
n29074	30.8612|31.7336
n29076	30.0355|31.0484
n29077	32.1312|33.1499
n29078	32.6428|33.5895
n29079	32.4896|33.6116
n29081	29.6538|30.3462
n29082	29.6911|30.3089
n29095	33.7585|34.9157
n29117	32.6115|33.8374
n29129	30.9461|32.3753
n29136	21.2758|22.5366
n29146	28.8445|29.7969
n29197	31.4954|32.6487
n29200	29.3613|30.6387
n29223	33.0198|33.9615
n29228	33.1397|33.8383
n29234	31.6008|33.0598
n29236	29.7984|31.0596
n29238	30.7548|32.2398
n29303	36.7868|38.1787
n29335	40.2926|41.8757
n29349	28.9195|30.229
n29350	28.7244|30.0961
n29418	32.2423|32.9424
n29430	31.9148|33.3801
n29452	31.4247|32.4971
n29453	34.5982|35.4909
n29463	32.4019|34.2892
n29547	36.26|37.0926
n29551	35.3393|36.4361
n29568	29.1321|30.8679
n29574	29.4431|30.5569
n29669	46.7947|48.0806
n29670	48.6463|50.3462
n29674	48.7093|49.8204
n29675	50.8782|51.8262
n29681	44.6007|45.3993
n29715	34.4033|36.3125
internal_node_23500	34.3523|36.0433
internal_node_23503	33.4916|35.0833
2790996+2895623	30.4396|32.1982
internal_node_23509	32.1282|33.6306
n29720	30.5463|32.0219
n29723	36.0986|37.9014
internal_node_23630	28.2714|29.7714
n29781	36.3712|37.6288
n29782	36.3825|37.6175
internal_node_23720	30.0282|31.4289
n29823	28.6458|30.0242
internal_node_23724	28.0703|29.4087
internal_node_23728	26.4725|27.8226
n29831	36.8198|37.1802
n29853	29.6044|30.3956
n29863	29.6868|30.3132
n29872	29.59|30.41
n29873	29.5964|30.4036
n29874	29.779|30.221
n29881	29.9723|30.0277
n29882	29.8516|30.1484
n29884	31.1533|33.3062
n29899	36.3043|37.6957
n29900	36.4013|37.5987
n29933	36.3181|37.6819
n29934	36.255|37.745
n29935	36.1013|37.8987
n29942	36.344|37.656
n29959	36.2662|37.7338
n29963	36.9062|37.0938
n29967	36.1639|37.8361
internal_node_24086	36.5616|37.4384
n29974	36.235|37.765
n29976	36.3723|37.6277
n29977	36.131|37.869
n29990	35.0208|36.5152
n29992	33.7987|35.073
n29993	35.0239|36.1289
n29995	34.371|35.1923
n29996	34.7595|35.563
n29997	36.483|37.517
n29998	36.776|37.224
n29999	36.6079|37.3921
n30000	36.7248|37.2752
n30001	36.6492|37.3508
n30004	36.6876|37.3124
n30007	36.7194|37.2806
n30009	32.972|33.873
n30012	36.7943|37.2057
n30013	33.7891|34.4832
1129771	36.2862|37.7138
n30023	36.2769|37.7231
n30034	36.2011|37.7989
internal_node_24282	47.2653|48.4493
n30042	40.8783|42.2796
n30043	46.6523|48.0206
543313	37.643|39.089
internal_node_24290	35.111|36.8363
internal_node_24293	36.5251|37.4261
internal_node_24296	36.0998|37.02
n30049	36.4981|37.7739
n30051	36.7281|37.616
internal_node_24304	36.2821|37.1869
n30054	36.3141|37.453
internal_node_24310	36.1504|37.4127
internal_node_24362	36.0301|37.3514
n30080	35.6272|37.0272
n30090	36.4564|37.5436
n30091	36.4179|37.5821
n30100	36.4469|37.5531
n30106	36.6838|37.3162
internal_node_24468	36.1527|37.0497
n30114	35.7317|36.7817
n30115	36.2796|37.7204
n30116	36.0726|37.9274
n30146	35.0511|35.8513
n30149	36.3337|37.6663
internal_node_24587	36.4041|37.5959
n30165	36.256|37.744
n30166	36.2192|37.7808
internal_node_24634	36.6895|37.3105
n30171	36.7721|37.2279
n30172	37.2178|38.5235
n30177	36.4037|37.5963
n30180	36.5576|37.4424
n30181	36.6491|37.3509
n30182	36.6262|37.3738
n30185	36.4277|37.5723
n30191	36.2085|37.7915
n30208	34.9182|36.2385
n30211	32.4945|34.1169
internal_node_24836	36.3632|37.6368
n30243	36.9715|38.3422
n30245	37.3018|38.711
internal_node_24868	31.8281|32.8491
n30276	38.5227|39.9606
n30277	39.4017|40.7099
n30278	42.0268|43.5459
n30280	47.3751|48.9221
n30284	36.5827|37.4173
internal_node_24959	36.5045|37.4955
n30294	36.3895|37.6105
n30317	35.0432|36.4794
n30333	34.4249|35.5751
543314	36.2648|37.7352
n30372	36.4609|37.5391
1737404+1737405	55.1064|56.8327
n30383	47.0204|48.4312
1570339	34.2648|35.6066
n30388	34.5896|36.211
n30389	34.2192|35.4826
n30390	33.1122|34.513
n30391	36.2599|37.7401
n30401	36.6329|37.3671
n30404	36.3175|37.6825
internal_node_25296	36.5289|37.4711
n30410	36.4002|37.5998
n30411	36.5121|37.4879
n30412	36.5024|37.4976
n30413	36.5323|37.4677
n30419	36.6721|37.3279
n30420	36.7905|37.2095
n30430	33.4297|35.2061
n30431	35.9857|38.0143
n30474	34.5634|36.2408
n30476	33.8671|34.955
n30484	36.2982|37.7018
n30496	49.9965|51.5435
n30497	49.2296|50.3552
n30498	52.0396|53.7742
n30499	53.1876|54.7908
n30500	47.7384|49.1358
n30501	38.9086|40.5368
n30508	31.5399|32.7849
n30509	36.3626|37.3326
n30511	34.6597|35.8136
n30512	35.6276|36.7805
n30513	35.3642|36.3898
n30514	35.8362|37.1352
n30515	36.5871|37.8805
n30516	36.8071|37.9063
n30517	36.9914|38.3883
n30573	32.2963|33.434
n30578	37.3925|38.4562
n30579	34.9751|35.9753
n30580	32.0919|33.2829
n30582	36.5151|37.4849
n30595	41.583|42.367
n30645	53.3724|54.661
internal_node_25876	56.1496|57.1944
n30648	57.5569|58.7485
n30653	61.9691|62.9206
n30657	61.1306|62.9349
internal_node_25908	59.4544|60.5456
n30662	59.676|60.324
n30682	46.3739|47.7206
n30684	43.6163|44.9786
n30687	34.9006|36.1371
n30688	36.4286|37.5714
n30690	36.2681|37.7319
n30691	36.3075|37.6925
n30693	36.1416|37.8584
n30721	36.1435|37.8565
n30737	32.4203|33.7857
internal_node_26155	36.5467|37.4533
n30757	29.5995|30.4005
n30768	50.0331|51.5877
n30771	45.0631|46.3487
n30773	33.7935|35.4059
n30781	26.998|27.9763
n30788	57.3154|58.3899
n30793	59.8279|60.1721
n30796	49.837|51.2114
n30806	39.5294|40.6869
n30807	38.3591|40.0412
n30808	38.6205|40.3613
2937909	30.2886|31.4171
n30811	31.3307|32.2149
internal_node_26358	30.1701|30.8427
n30813	30.8028|31.7636
n30819	28.9799|29.5694
n30820	29.5901|30.4099
n30822	29.5797|30.4203
n30823	32.0913|33.139
internal_node_26384	33.7284|34.7175
n30825	36.4819|37.5181
n30828	28.8265|30.0222
n30840	37.8853|39.7567
n30847	40.1368|41.365
2937910	44.455|45.801
internal_node_26472	42.7461|44.2115
n30851	36.3496|37.6504
n30859	45.2914|46.8945
internal_node_26497	42.8664|44.2612
n30864	53.6429|55.101
n30875	31.7801|33.6947
n30880	46.2617|48.197
909932	36.24|37.2486
909929+1843490	36.4725|37.6535
n30884	36.5799|37.5918
1843489+31977	41.5822|42.9707
n30889	34.2835|35.5656
n30890	36.3829|37.6171
n30891	36.3345|37.6655
internal_node_26584	36.3447|37.6553
internal_node_26618	36.4946|37.5054
n30908	36.4127|37.5873
n30914	36.4815|37.5185
n30916	36.6914|37.3086
1843491	33.4888|34.6751
n30929	37.2608|38.3426
n30930	35.8352|37.475
n30931	35.7361|37.2445
n30932	36.719|37.6995
n30935	37.1792|38.0257
n30936	37.4843|38.3795
n30940	37.7933|38.8854
n30941	37.3325|38.4395
n30947	30.5132|32.093
internal_node_26734	36.4639|37.5361
n30962	56.5659|57.3121
n30963	29.8326|31.1304
n30966	31.4722|32.5472
n30974	28.1715|29.5793
internal_node_26802	27.0203|27.5351
1843488+909930	35.5338|36.8457
n30980	36.2863|37.7137
internal_node_26828	36.4736|37.5264
n30990	59.8592|60.7083
n30991	60.0269|60.9798
n30992	60.8921|61.6482
n31003	36.8125|38.1327
n31004	27.9136|30.0697
n31005	27.7225|29.6338
n31007	28.1984|30.4227
74201	26.251|28.4441
48461+203557	27.0405|29.0875
n31032	24.9727|26.9424
414999+415000	25.572|27.8768
204428+204429	30.7127|32.5478
internal_node_27129	35.8783|36.769
n31087	35.5632|36.4882
n31088	35.3253|35.9057
n31089	36.826|37.174
n31090	36.687|37.313
n31093	36.6952|37.3048
n31096	36.7469|37.2531
203682	26.9115|29.0366
203683	28.1245|29.7767
112+126	27.9881|29.9318
2691357	25.9968|28.0682
n31163	29.1169|30.8831
n31164	29.0189|30.9811
n31189	27.6772|30.1925
n31220	42.8563|44.4784
n31221	35.7868|37.9371
n31223	28.1032|30.4536
n31230	25.2414|26.6065
n31231	24.216|25.1635
internal_node_27555	28.0715|29.1296
internal_node_27559	19.4196|20.5804
n31251	21.276|21.9868
574975+574976	31.8999|32.9415
n31290	42.4134|44.0404
53434	34.7288|36.2339
internal_node_27747	32.5654|34.3645
n31312	51.7536|53.5617
n31318	35.329|35.793
n31324	49.7309|51.7634
40117	50.0128|52.2398
internal_node_27851	64.477|65.523
n31335	50.8888|51.9678
n31336	55.2058|56.332
n31338	46.3275|48.0796
84995+84996	40.4252|42.0935
n31340	34.411|36.0044
2037+2049	37.3102|39.1431
n31342	38.0139|39.2078
internal_node_27888	38.1555|39.0925
n31344	27.6148|28.5425
internal_node_27892	27.7214|28.5111
internal_node_27897	28.561|29.5059
n31347	29.5498|30.4584
n31348	29.1596|30.2566
n31349	29.6488|30.8022
n31351	29.7818|30.5959
n31352	27.5696|28.5432
n31353	25.8457|26.8161
internal_node_27909	24.5186|25.5807
n31356	31.3894|32.4667
internal_node_27918	36.3769|37.0189
n31360	36.0464|36.9554
n31361	35.8345|36.8063
n31364	34.2005|35.2411
n31369	32.1136|32.7478
n31374	36.86|37.14
n31376	36.8183|37.1817
n31388	28.9142|29.505
n31459	36.6565|37.3435
n31588	30.3486|31.5916
n31590	33.5854|34.4227
n31592	33.91|34.7243
n31594	31.1879|31.8579
n31595	32.733|33.4215
n31596	33.0342|33.8178
n31597	34.7791|35.5991
n31598	36.0978|36.8118
n31599	36.5585|37.4415
n31601	36.587|37.413
n31602	36.4469|37.5531
n31605	36.5821|37.4179
n31613	36.3617|37.6383
n31624	36.5449|37.4551
n31626	36.5944|37.4056
n31628	36.4752|37.5248
n31629	36.3695|37.6305
n31633	36.6469|37.3531
n31634	36.4416|37.5584
n31642	35.4423|36.3314
n31643	34.6887|35.805
n31646	29.6242|30.3758
n31656	32.4548|33.2667
n31658	29.234|29.9423
n31659	36.5458|37.4542
n31663	36.4618|37.5382
n31667	36.3417|37.6583
n31686	28.8296|29.9174
n31687	30.5034|31.9975
n31694	32.0487|33.0101
n31695	30.5644|31.5965
n31696	32.0362|32.9926
n31702	35.0714|36.1137
n31703	34.1954|35.242
n31704	29.8066|31.3938
n31710	28.1375|29.09
n31711	29.7129|30.6844
n31713	30.1007|31.0163
n31717	36.6816|37.5442
n31718	36.6818|37.9789
n31719	36.9964|37.8163
n31720	36.5176|37.4824
n31725	36.566|37.434
n31727	36.5221|37.4779
n31740	33.2824|33.9788
n31741	30.7626|31.6398
n31742	32.0137|33.0221
n31746	31.1404|31.7481
internal_node_28744	30.4834|31.2135
n31760	29.6062|30.6237
n31761	29.6176|30.3149
n31762	29.6816|30.1948
n31763	28.4819|29.2723
n31764	29.0594|29.5349
n31765	31.4933|32.2179
n31767	28.8208|29.6403
n31768	27.8325|28.3918
n31769	27.5697|28.4303
n31773	27.6024|28.3976
n31810	27.8506|28.4331
n31812	28.2622|28.8631
n31815	28.9133|29.2869
n31816	28.5474|29.1374
n31826	27.7181|28.2819
n31828	27.7789|28.2211
n31862	33.5105|34.0616
n31870	27.826|28.174
n31879	30.0626|30.4529
n31880	27.7045|28.2955
n31888	30.7983|31.2017
n31890	29.4807|30.5193
n31899	30.5167|31.0681
n31900	27.9077|28.4726
n31901	28.0023|28.5308
n31902	28.201|28.8104
n31903	27.6821|28.4617
n31904	28.3676|29.0932
n31905	28.8847|29.7391
n31916	29.5186|30.3078
n31917	30.6682|31.5007
n31924	26.9372|27.4534
n31926	27.7561|28.2439
n31928	25.7212|26.4189
n31934	28.4266|29.1485
n31935	27.5602|28.4398
n31940	27.7468|28.2532
n31941	27.6352|28.3648
n31962	31.1151|32.0923
n31965	30.1495|30.8139
n31969	26.9779|27.5409
n31972	29.2613|30.0832
n31984	27.417|27.4921
n31985	25.2994|25.3673
n31989	26.6791|27.0444
n32005	34.0535|34.8396
n32009	33.3697|33.6303
n32013	36.5742|36.8979
internal_node_29282	30.0495|30.6574
n32020	28.5725|29.7124
n32022	28.4991|29.3798
n32023	29.2815|30.4048
n32024	30.8736|32.0979
n32027	32.8966|33.8485
internal_node_29297	33.8007|34.747
internal_node_29300	32.4733|33.3024
n32030	34.1998|35.2458
n32031	31.2541|32.3444
n32034	27.4066|28.2026
n32035	26.9704|28.119
n32041	26.818|28.0022
n32074	27.3089|27.9193
n32077	25.9262|26.7606
n32115	39.2702|39.4502
internal_node_29488	30.4126|31.2781
n32124	33.8619|34.6272
n32126	33.9177|34.5502
n32127	32.0572|32.5505
n32128	31.8871|32.4817
n32129	29.2152|29.7848
n32131	41.5904|42.5872
n32132	33.7494|34.7612
n32134	27.8418|28.1582
n32135	27.7855|28.2145
n32153	38.6388|39.8867
internal_node_29559	44.5081|45.4919
internal_node_29568	30.9621|31.8729
n32157	25.5938|27.3191
n32165	39.6037|40.5865
n32186	33.822|34.8742
n32224	28.8249|30.1078
n32227	29.6815|30.8588
n32238	30.8469|31.6912
n32337	27.5404|28.4596
n32407	29.6691|30.629
n32408	27.5012|28.5612
n32409	27.2312|28.3647
n32410	27.0831|28.3758
n32411	27.2083|28.1607
internal_node_30147	27.5787|28.4045
n32413	27.5406|28.438
n32414	27.3756|28.204
n32416	27.4156|28.5844
internal_node_30282	27.8467|28.1533
n32487	27.8527|28.1473
n32544	27.1876|28.0749
internal_node_30419	26.6556|27.845
n32547	27.3558|28.6442
internal_node_30578	27.734|28.266
n32618	27.7033|28.2967
n32619	27.8346|28.1654
n32620	27.7825|28.2175
n32621	27.7477|28.2523
n32622	27.805|28.195
n32646	28.0946|29.1761
n32685	27.2115|28.7885
n32742	28.1207|29.1684
n32743	28.3092|29.5642
n32744	27.3934|28.7932
n32751	27.6461|28.9372
n32753	27.7851|29.2747
internal_node_31222	27.4864|28.5136
31957	29.646|30.9496
n32935	29.8085|31.1555
n32937	31.5821|32.8791
n32942	34.1846|35.3378
n32943	33.5715|34.5332
internal_node_31294	36.3202|37.3339
n32945	36.2763|37.1576
n32950	36.0696|36.1804
n32951	36.8441|37.1559
internal_node_31329	30.7308|31.6403
n32963	29.8144|30.1856
n33025	28.0802|28.6712
85012+2004	32.8454|34.5236
n33064	31.2448|32.3894
2012	28.0816|29.4209
internal_node_31608	27.9369|29.4396
internal_node_31994	28.2619|29.2955
n33248	29.1499|30.0819
n33249	29.8978|30.7142
n33252	30.5597|31.7633
n33256	33.2445|34.5949
83676	38.3063|39.2197
n33352	27.8364|28.7819
n33354	28.5058|29.2045
n33356	28.2734|28.7318
n33357	29.6008|30.3269
n33361	32.8992|33.4983
n33362	33.7731|34.2027
n33364	39.1873|39.6414
n33376	27.6797|28.3203
n33378	27.7791|28.2209
n33383	29.5987|30.1303
n33384	31.7735|32.3707
n33385	36.8932|37.1068
n33393	27.583|28.417
n33395	27.676|28.324
n33396	27.672|28.328
n33425	26.779|28.2432
n33432	26.3516|27.1689
internal_node_32417	25.9129|26.618
internal_node_32420	26.0188|26.6739
n33435	27.0373|27.6144
n33436	27.3102|28.0176
n33437	27.5394|28.2608
n33439	27.794|28.3471
n33440	27.8448|28.4362
n33481	26.1291|26.768
n33483	27.2578|28.084
n33517	27.7014|28.2986
n33520	27.4622|28.5378
n33609	27.2034|28.0834
n33611	26.7408|27.8086
n33675	26.9302|27.5486
n33676	26.31|26.9916
n33688	26.6749|27.4006
n33690	27.1033|28.1553
n33723	27.2591|27.8262
n33726	26.9079|27.0921
n33729	25.8753|27.0675
n33733	27.3758|28.6242
n33783	25.475|26.2597
n33784	25.4465|26.2765
n33785	26.8174|27.8833
n33787	26.3612|27.2909
n33790	26.059|26.4066
n33815	26.8625|27.4265
n33816	26.8537|27.2227
n33820	25.9793|26.5504
n33921	23.5812|24.3417
n33952	27.8506|28.1494
n33959	21.7139|22.3499
n33998	25.5157|26.241
n33999	27.1466|27.8733
n34000	26.8967|27.7825
n34062	23.7941|24.4269
n34130	25.529|26.4812
n34135	27.2867|28.5084
n34154	26.9723|27.0277
414714	27.1966|28.8034
2495578+85033	26.6606|27.638
n34253	27.6699|28.9301
n34254	27.8711|28.8817
n34255	27.964|29.2048
622452+83778	28.2567|29.3588
n34259	27.4498|28.3927
n34260	27.4342|28.3561
internal_node_34103	26.4189|27.4142
n34262	27.8631|28.5793
n34263	27.3388|27.9911
n34264	27.8378|28.7842
n34265	30.8598|32.1552
n34266	29.0787|30.8732
85023	27.2748|28.4933
internal_node_34115	27.2916|28.246
internal_node_34118	26.1788|27.1649
n34271	30.1656|31.4647
internal_node_34124	33.1999|34.4461
n34344	35.046|35.5369
n34425	27.2557|28.7443
n34429	27.4592|28.5408
n34487	21.0756|22.3764
n34493	22.7538|23.6013
n34517	28.6766|29.7259
n34518	29.7735|31.1641
internal_node_34661	29.9587|31.5552
n34632	27.4793|28.5207
internal_node_34952	27.5863|28.4137
n34658	27.5163|28.4837
n34661	27.4741|28.5259
internal_node_35087	36.2053|37.1318
n34696	36.461|37.0597
n34697	36.5707|37.4293
n34698	36.5244|37.4756
n34701	36.507|37.493
n34702	36.5882|37.4118
n34703	36.4635|37.5365
n34704	36.7848|37.2152
n34706	36.7841|37.2159
n34727	36.428|37.572
n34733	36.7677|37.2323
n34734	36.6583|37.3417
n34739	36.3848|37.6152
n34742	36.4057|37.5943
n34744	36.5184|37.4816
n34745	36.4407|37.5593
n34749	36.7055|37.2945
n34762	36.1349|36.9392
n34763	36.7115|37.5138
n34764	36.6016|37.3984
n34765	36.5376|37.4624
n34766	36.6077|37.3923
n34767	36.4939|37.5061
n34777	36.4625|37.5375
n34780	36.4973|37.5027
n34781	36.4332|37.5668
n34794	36.7073|37.8347
n34799	34.3905|35.6549
n34802	37.6142|38.1648
n34803	32.6462|33.7342
n34815	36.0196|37.1525
n34817	36.5885|37.4115
n34820	35.6765|36.8129
internal_node_35356	34.6993|35.8265
internal_node_35371	32.716|33.843
n34826	32.4188|33.5356
n34828	28.2434|29.1628
n34850	34.1478|35.2195
n34862	25.6042|26.5695
n34864	24.6841|25.5836
n34865	22.9383|23.7158
n34866	28.9611|30.3342
n34867	29.3465|30.5297
n34868	30.4835|31.5578
n34870	28.4814|29.4712
n34872	28.9673|30.4411
n34874	29.0358|30.2125
internal_node_35468	28.724|29.7065
n34900	30.4011|31.5848
n34927	27.431|28.569
internal_node_35778	13.9999|14.8571
n35008	34.3724|35.6484
n35043	32.4283|33.9349
n35089	27.403|28.2516
n35092	25.7696|26.434
n35093	29.433|30.55
n35115	28.5297|29.5079
n35138	26.7592|27.4491
internal_node_36075	23.7158|24.603
internal_node_36078	21.6621|22.4445
n35142	27.1787|28.2742
internal_node_36082	26.922|28.196
n35159	27.7299|28.2701
n35174	26.8201|27.6083
n35190	17.9377|18.7586
n35204	28.3813|29.2095
n35205	29.2977|30.6047
85018	29.7766|30.6659
n35231	27.9921|28.8633
n35236	25.5333|26.3295
n35237	26.0826|26.9174
n35241	25.8576|27.0401
2805590	20.9148|22.2141
n35257	17.2737|18.0466
n35262	29.1925|30.2551
n35263	28.404|29.4096
n35269	27.641|28.359
n35270	27.6507|28.3493
n35271	27.5247|28.4753
n35289	27.6617|28.3383
n35301	28.7534|29.7726
85022	30.9785|32.5142
n35324	17.3428|18.1023
n35326	9.2949|10.1486
n35334	29.6739|30.7532
n35336	32.0501|33.2662
n35337	36.358|37.5256
n35340	36.3051|37.487
internal_node_36583	36.4068|37.5932
n35344	36.5007|37.4993
n35347	36.7009|37.2991
n35348	36.6288|37.3712
n35349	36.4968|37.5032
n35351	36.3363|37.6637
n35360	36.4887|37.5113
n35373	36.2369|37.4805
n35374	36.1658|37.4193
n35376	35.6292|37.3895
n35385	35.4265|36.8999
n35387	36.5539|37.4461
n35388	36.4216|37.5784
n35392	36.4716|37.5284
internal_node_36710	36.5882|37.4118
n35399	36.9243|37.0757
n35406	36.432|37.568
n35413	36.373|37.627
internal_node_36769	36.4183|37.5817
n35420	36.3512|37.6488
n35447	27.4736|28.5264
n35448	27.5499|28.4501
n35505	28.5896|29.9317
internal_node_37004	27.5908|28.4092
n35508	27.5362|28.4638
n35537	27.4018|28.5982
n35558	24.2524|25.2975
n35614	27.5805|28.4195
n35633	37.7934|39.4054
84992+84993	41.8304|43.4175
internal_node_37334	20.5969|21.5989
n35642	10.4291|11.1354
84994	47.9042|49.1698
84999	36.0535|37.6118
84107	35.9605|37.3212
n35661	36.7201|37.6225
n35662	36.2779|37.7221
n35663	36.4412|37.5588
n35665	36.3573|37.6427
n35667	36.432|37.568
internal_node_37434	36.3711|37.6289
n35677	36.4191|37.5809
n35681	36.9187|37.8586
internal_node_37452	36.5143|37.4857
n35685	37.1955|38.4081
n35692	33.0863|34.21
internal_node_37492	36.5562|37.4438
n35695	36.4933|37.5067
n35697	36.3967|37.6033
n35698	36.6946|37.3054
1643824	36.5122|37.4878
internal_node_37528	36.5016|37.4984
n35721	36.4385|37.5615
n35722	36.404|37.596
internal_node_37587	36.5793|37.4207
n35732	27.9275|29.216
internal_node_37608	28.901|29.8714
n35736	24.7513|25.2487
n35763	60.8711|62.3153
n35764	59.864|61.3933
n35765	54.4545|56.2717
n35769	47.827|49.7375
n35790	64.737|66.6276
539000	61.8535|63.8668
internal_node_37796	46.6165|48.3033
internal_node_37809	69.1044|69.8446
n35803	68.8544|69.5818
n35806	47.0387|48.63
n35807	46.3604|48.3917
n35808	51.4335|53.3775
200795	47.9471|49.1863
n35810	44.1608|46.0574
n35811	53.8996|56.1004
301297	26.4145|27.8896
n35830	50.281|52.145
n35831	58.1551|59.8666
n35832	51.6264|53.4219
n35834	43.0597|44.974
32064+1508635	49.664|51.5616
internal_node_37905	50.7643|51.7905
3027942+189775	58.767|60.4757
1297+188787	48.2498|49.6184
n35910	35.5898|37.3012
