tip_label	genome_id	kingdom	phylum	class	order	family	genus	species
GCA_000013445|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_hungatei	GCA_000013445	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	Methanospirillum_hungatei
GCA_003173335|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_stamsii	GCA_003173335	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	Methanospirillum_stamsii
GCA_002839625|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__Methanomicrobiales_unclassified|s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_4	GCA_002839625	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiales_unclassified	Methanomicrobiales_unclassified	Methanomicrobiales_archaeon_HGW_Methanomicrobiales_4
GCA_003173355|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_lacunae	GCA_003173355	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	Methanospirillum_lacunae
GCA_000304355|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Methanoculleus_bourgensis	GCA_000304355	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus_bourgensis
GCA_001017125|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Methanoculleus_sediminis	GCA_001017125	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus_sediminis
GCA_000015825|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Methanoculleus_marisnigri	GCA_000015825	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus_marisnigri
GCA_900095385|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Methanoculleus_chikugoensis	GCA_900095385	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus_chikugoensis
GCA_002839575|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__Methanomicrobiales_unclassified|s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_6	GCA_002839575	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiales_unclassified	Methanomicrobiales_unclassified	Methanomicrobiales_archaeon_HGW_Methanomicrobiales_6
GCA_002839645|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiales_unclassified|g__Methanomicrobiales_unclassified|s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_2	GCA_002839645	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiales_unclassified	Methanomicrobiales_unclassified	Methanomicrobiales_archaeon_HGW_Methanomicrobiales_2
GCA_000014945|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosaetaceae|g__Methanothrix|s__Methanothrix_thermoacetophila	GCA_000014945	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanothrix	Methanothrix_thermoacetophila
GCA_000204415|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosaetaceae|g__Methanothrix|s__Methanothrix_soehngenii	GCA_000204415	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanothrix	Methanothrix_soehngenii
GCA_001509375|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosaetaceae|g__Methanothrix|s__Methanosaeta_harundinacea	GCA_001509375	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanothrix	Methanosaeta_harundinacea
GCA_002926195|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinales_unclassified|g__Methanosarcinales_unclassified|s__ANME_2_cluster_archaeon_HR1	GCA_002926195	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinales_unclassified	Methanosarcinales_unclassified	ANME_2_cluster_archaeon_HR1
GCA_003194445|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinales_unclassified|g__Methanosarcinales_unclassified|s__ANME_2_cluster_archaeon	GCA_003194445	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinales_unclassified	Methanosarcinales_unclassified	ANME_2_cluster_archaeon
GCA_002839545|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Candidatus_Methanoperedenaceae|g__Candidatus_Methanoperedenaceae_unclassified|s__Candidatus_Methanoperedenaceae_archaeon_HGW_Methanoperedenaceae_1	GCA_002839545	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Candidatus_Methanoperedenaceae	Candidatus_Methanoperedenaceae_unclassified	Candidatus_Methanoperedenaceae_archaeon_HGW_Methanoperedenaceae_1
GCA_000685155|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Candidatus_Methanoperedenaceae|g__Candidatus_Methanoperedens|s__Candidatus_Methanoperedens_nitroreducens	GCA_000685155	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Candidatus_Methanoperedenaceae	Candidatus_Methanoperedens	Candidatus_Methanoperedens_nitroreducens
GCA_001317315|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Candidatus_Methanoperedenaceae|g__Candidatus_Methanoperedens|s__Candidatus_Methanoperedens_sp_BLZ1	GCA_001317315	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Candidatus_Methanoperedenaceae	Candidatus_Methanoperedens	Candidatus_Methanoperedens_sp_BLZ1
GCA_003104905|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Candidatus_Methanoperedenaceae|g__Candidatus_Methanoperedenaceae_unclassified|s__Candidatus_Methanoperedenaceae_archaeon	GCA_003104905	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Candidatus_Methanoperedenaceae	Candidatus_Methanoperedenaceae_unclassified	Candidatus_Methanoperedenaceae_archaeon
GCA_003584605|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_thermophila	GCA_003584605	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina_thermophila
GCA_001304615|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_flavescens	GCA_001304615	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina_flavescens
GCA_002287235|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_spelaei	GCA_002287235	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina_spelaei
GCA_000969905|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_vacuolata	GCA_000969905	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina_vacuolata
GCA_000970065|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_barkeri	GCA_000970065	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina_barkeri
GCA_000979495|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_mazei	GCA_000979495	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina_mazei
