"tip_label"	"genome_id"	"taxid"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"
"GCA_003194445|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinales_unclassified|g__Methanosarcinales_unclassified|s__ANME_2_cluster_archaeon"	"GCA_003194445"	"2056317"	"2157"	"28890"	"224756"	"94695"	NA	NA	"2056317"	NA
"GCA_002839545|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Candidatus_Methanoperedenaceae|g__Candidatus_Methanoperedenaceae_unclassified|s__Candidatus_Methanoperedenaceae_archaeon_HGW_Methanoperedenaceae_1"	"GCA_002839545"	"2013824"	"2157"	"28890"	"224756"	"94695"	"1392996"	NA	"2013824"	NA
"GCA_000685155|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Candidatus_Methanoperedenaceae|g__Candidatus_Methanoperedens|s__Candidatus_Methanoperedens_nitroreducens"	"GCA_000685155"	"1392998"	"2157"	"28890"	"224756"	"94695"	"1392996"	"1392997"	"1392998"	NA
"GCA_001317315|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Candidatus_Methanoperedenaceae|g__Candidatus_Methanoperedens|s__Candidatus_Methanoperedens_sp_BLZ1"	"GCA_001317315"	"1719120"	"2157"	"28890"	"224756"	"94695"	"1392996"	"1392997"	"1719120"	NA
"GCA_003104905|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Candidatus_Methanoperedenaceae|g__Candidatus_Methanoperedenaceae_unclassified|s__Candidatus_Methanoperedenaceae_archaeon"	"GCA_003104905"	"2072416"	"2157"	"28890"	"224756"	"94695"	"1392996"	NA	"2072416"	NA
"GCA_003584605|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_thermophila"	"GCA_003584605"	"2210"	"2157"	"28890"	"224756"	"94695"	"2206"	"2207"	"2210"	NA
"GCA_001304615|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_flavescens"	"GCA_001304615"	"1715806"	"2157"	"28890"	"224756"	"94695"	"2206"	"2207"	"1715806"	NA
"GCA_002287235|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_spelaei"	"GCA_002287235"	"1036679"	"2157"	"28890"	"224756"	"94695"	"2206"	"2207"	"1036679"	NA
"GCA_000969905|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_vacuolata"	"GCA_000969905"	"1434123"	"2157"	"28890"	"224756"	"94695"	"2206"	"2207"	"2215"	"1434123"
"GCA_000970065|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_barkeri"	"GCA_000970065"	"1434106"	"2157"	"28890"	"224756"	"94695"	"2206"	"2207"	"2208"	"1434106"
