"node"	"taxid"	"n_labels"	"node_label"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"	"Taxon_name"	"Rank"
19468	"135618"	2	"135618+1486721"	"2"	"1224"	"1236"	"135618"	NA	NA	NA	NA	"Methylococcales"	"order"
19468	"1486721"	2	"135618+1486721"	"2"	"1224"	"1236"	"135618"	"1486721"	NA	NA	NA	"Methylothermaceae"	"family"
19469	"1775403"	1	"1775403"	"2"	"1224"	"1236"	"1775403"	NA	NA	NA	NA	"Nevskiales"	"order"
19470	"135613"	2	"135613+1046"	"2"	"1224"	"1236"	"135613"	NA	NA	NA	NA	"Chromatiales"	"order"
19470	"1046"	2	"135613+1046"	"2"	"1224"	"1236"	"135613"	"1046"	NA	NA	NA	"Chromatiaceae"	"family"
19471	"72276"	1	"72276"	"2"	"1224"	"1236"	"135613"	"72276"	NA	NA	NA	"Ectothiorhodospiraceae"	"family"
19472	"135619"	5	"135619+1096778+224372+2823145+476278"	"2"	"1224"	"1236"	"135619"	NA	NA	NA	NA	"Oceanospirillales"	"order"
19472	"1096778"	5	"135619+1096778+224372+2823145+476278"	"2"	"1224"	"1236"	"135613"	"1096778"	NA	NA	NA	"Thioalkalispiraceae"	"family"
19472	"224372"	5	"135619+1096778+224372+2823145+476278"	"2"	"1224"	"1236"	"135619"	"224372"	NA	NA	NA	"Alcanivoracaceae"	"family"
19472	"2823145"	5	"135619+1096778+224372+2823145+476278"	"2"	"1224"	"1236"	"135619"	"2823145"	NA	NA	NA	"Pleioneaceae"	"family"
19472	"476278"	5	"135619+1096778+224372+2823145+476278"	"2"	"1224"	"1236"	"135613"	"72276"	"476278"	NA	NA	"Thiohalospira"	"genus"
19474	"403"	4	"403+481+413+482"	"2"	"1224"	"1236"	"135618"	"403"	NA	NA	NA	"Methylococcaceae"	"family"
19474	"481"	4	"403+481+413+482"	"2"	"1224"	"28216"	"206351"	"481"	NA	NA	NA	"Neisseriaceae"	"family"
19474	"413"	4	"403+481+413+482"	"2"	"1224"	"1236"	"135618"	"403"	"413"	NA	NA	"Methylococcus"	"genus"
19474	"482"	4	"403+481+413+482"	"2"	"1224"	"28216"	"206351"	"481"	"482"	NA	NA	"Neisseria"	"genus"
19475	"118969"	3	"118969+72273+135617"	"2"	"1224"	"1236"	"118969"	NA	NA	NA	NA	"Legionellales"	"order"
19475	"72273"	3	"118969+72273+135617"	"2"	"1224"	"1236"	"72273"	NA	NA	NA	NA	"Thiotrichales"	"order"
19475	"135617"	3	"118969+72273+135617"	"2"	"1224"	"1236"	"72273"	"135617"	NA	NA	NA	"Thiotrichaceae"	"family"
19476	"72274"	3	"72274+135621+45247"	"2"	"1224"	"1236"	"72274"	NA	NA	NA	NA	"Pseudomonadales"	"order"
19476	"135621"	3	"72274+135621+45247"	"2"	"1224"	"1236"	"72274"	"135621"	NA	NA	NA	"Pseudomonadaceae"	"family"
19476	"45247"	3	"72274+135621+45247"	"2"	"1224"	"1236"	"72273"	"135617"	"45247"	NA	NA	"Leucothrix"	"genus"
19477	"135616"	1	"135616"	"2"	"1224"	"1236"	"72273"	"135616"	NA	NA	NA	"Piscirickettsiaceae"	"family"
19478	"255527"	1	"255527"	"2"	"1224"	"1236"	"135619"	"255527"	NA	NA	NA	"Saccharospirillaceae"	"family"
19480	"135622"	3	"135622+28256+72275"	"2"	"1224"	"1236"	"135622"	NA	NA	NA	NA	"Alteromonadales"	"order"
19480	"28256"	3	"135622+28256+72275"	"2"	"1224"	"1236"	"135619"	"28256"	NA	NA	NA	"Halomonadaceae"	"family"
19480	"72275"	3	"135622+28256+72275"	"2"	"1224"	"1236"	"135622"	"72275"	NA	NA	NA	"Alteromonadaceae"	"family"
19481	"135620"	1	"135620"	"2"	"1224"	"1236"	"135619"	"135620"	NA	NA	NA	"Oceanospirillaceae"	"family"
19485	"267888"	1	"267888"	"2"	"1224"	"1236"	"135622"	"267888"	NA	NA	NA	"Pseudoalteromonadaceae"	"family"
19487	"135624"	2	"135624+84642"	"2"	"1224"	"1236"	"135624"	NA	NA	NA	NA	"Aeromonadales"	"order"
19487	"84642"	2	"135624+84642"	"2"	"1224"	"1236"	"135624"	"84642"	NA	NA	NA	"Aeromonadaceae"	"family"
19490	"91347"	2	"91347+543"	"2"	"1224"	"1236"	"91347"	NA	NA	NA	NA	"Enterobacterales"	"order"
19490	"543"	2	"91347+543"	"2"	"1224"	"1236"	"91347"	"543"	NA	NA	NA	"Enterobacteriaceae"	"family"
19491	"1903411"	3	"1903411+1903416+613"	"2"	"1224"	"1236"	"91347"	"1903411"	NA	NA	NA	"Yersiniaceae"	"family"
19491	"1903416"	3	"1903411+1903416+613"	"2"	"1224"	"1236"	"91347"	"1903416"	NA	NA	NA	"Budviciaceae"	"family"
19491	"613"	3	"1903411+1903416+613"	"2"	"1224"	"1236"	"91347"	"1903411"	"613"	NA	NA	"Serratia"	"genus"
19493	"1903409"	3	"1903409+1903410+1903412"	"2"	"1224"	"1236"	"91347"	"1903409"	NA	NA	NA	"Erwiniaceae"	"family"
19493	"1903410"	3	"1903409+1903410+1903412"	"2"	"1224"	"1236"	"91347"	"1903410"	NA	NA	NA	"Pectobacteriaceae"	"family"
19493	"1903412"	3	"1903409+1903410+1903412"	"2"	"1224"	"1236"	"91347"	"1903412"	NA	NA	NA	"Hafniaceae"	"family"
19498	"3016631"	2	"3016631+579"	"2"	"1224"	"1236"	"91347"	"543"	"3016631"	NA	NA	"Silvania"	"genus"
19498	"579"	2	"3016631+579"	"2"	"1224"	"1236"	"91347"	"543"	"579"	NA	NA	"Kluyvera"	"genus"
19499	"53335"	5	"53335+544+547+570+83654"	"2"	"1224"	"1236"	"91347"	"1903409"	"53335"	NA	NA	"Pantoea"	"genus"
19499	"544"	5	"53335+544+547+570+83654"	"2"	"1224"	"1236"	"91347"	"543"	"544"	NA	NA	"Citrobacter"	"genus"
19499	"547"	5	"53335+544+547+570+83654"	"2"	"1224"	"1236"	"91347"	"543"	"547"	NA	NA	"Enterobacter"	"genus"
