"node"	"taxid"	"n_labels"	"node_label"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"
12685	"2582935"	2	"2582935+1803511"	"2157"	"2582935"	NA	NA	NA	NA	NA	NA
12685	"1803511"	2	"2582935+1803511"	"2157"	"2582935"	NA	"1803511"	NA	NA	NA	NA
12692	"183939"	2	"183939+2182"	"2157"	"28890"	"183939"	NA	NA	NA	NA	NA
12692	"2182"	2	"183939+2182"	"2157"	"28890"	"183939"	"2182"	NA	NA	NA	NA
12693	"2183"	2	"2183+2184"	"2157"	"28890"	"183939"	"2182"	"2183"	NA	NA	NA
12693	"2184"	2	"2183+2184"	"2157"	"28890"	"183939"	"2182"	"2183"	"2184"	NA	NA
12697	"196117"	1	"196117"	"2157"	"28890"	"183939"	"2182"	"196117"	NA	NA	NA
12698	"196119"	1	"196119"	"2157"	"28890"	"183939"	"2182"	"196117"	"196119"	NA	NA
12699	"196118"	1	"196118"	"2157"	"28890"	"183939"	"2182"	"196117"	"196118"	NA	NA
12705	"183925"	2	"183925+2158"	"2157"	"28890"	"183925"	NA	NA	NA	NA	NA
12705	"2158"	2	"183925+2158"	"2157"	"28890"	"183925"	"2158"	NA	NA	NA	NA
12706	"2159"	1	"2159"	"2157"	"28890"	"183925"	"2158"	"2159"	NA	NA	NA
12708	"145260"	1	"145260"	"2157"	"28890"	"183925"	"2158"	"2159"	"145260"	NA	NA
12712	"2160"	1	"2160"	"2157"	"28890"	"183925"	"2158"	"2159"	"2160"	NA	NA
12721	"2316"	1	"2316"	"2157"	"28890"	"183925"	"2158"	"2159"	"2316"	NA	NA
12730	"2172"	1	"2172"	"2157"	"28890"	"183925"	"2158"	"2159"	"2172"	NA	NA
12746	"2283796"	2	"2283796+183967"	"2157"	"2283796"	NA	NA	NA	NA	NA	NA
12746	"183967"	2	"2283796+183967"	"2157"	"2283796"	"183967"	NA	NA	NA	NA	NA
12748	"1235850"	1	"1235850"	"2157"	"2283796"	"183967"	"1235850"	NA	NA	NA	NA
12750	"2517203"	2	"2517203+1291539"	"2157"	"2283796"	"183967"	"1235850"	"2517203"	NA	NA	NA
12750	"1291539"	2	"2517203+1291539"	"2157"	"2283796"	"183967"	"1235850"	"2517203"	"1291539"	NA	NA
12751	"2301"	1	"2301"	"2157"	"2283796"	"183967"	"2301"	NA	NA	NA	NA
12753	"379546"	1	"379546"	"2157"	"2283796"	NA	NA	NA	"379546"	NA	NA
12757	"46630"	4	"46630+46631+46632+1122961"	"2157"	"2283796"	"183967"	"2301"	"46630"	NA	NA	NA
12757	"46631"	4	"46630+46631+46632+1122961"	"2157"	"2283796"	"183967"	"2301"	"46630"	"46631"	NA	NA
12757	"46632"	4	"46630+46631+46632+1122961"	"2157"	"2283796"	"183967"	"2301"	"46630"	"46631"	"46632"	NA
